chr	start	end	patient_7	patient_70	patient_71	patient_72	patient_73	patient_74	patient_75	patient_76	patient_77	patient_78	patient_79	patient_8	patient_80	patient_81	patient_82	patient_83	patient_84	patient_85	patient_86	patient_87
chr14	24751136	24751137	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr14	24751151	24751152	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr14	24751232	24751233	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr14	24752130	24752131	6	4	2	2	12	0	11	0	2	4	9	3	6	3	2	3	2	4	16	5
chr14	24752533	24752534	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
chr14	24752565	24752566	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
chr14	24754992	24754993	12	10	7	13	21	12	14	7	14	13	13	20	14	18	11	10	5	9	4	8
chr14	24755055	24755056	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
chr14	24755067	24755068	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
chr14	24755899	24755900	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr14	24755923	24755924	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0
chr14	24755988	24755989	2	0	0	1	0	0	0	0	0	2	2	0	3	1	1	1	0	0	0	1
chr14	24756019	24756020	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
chr14	24756033	24756034	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr14	24756040	24756041	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr14	24756044	24756045	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr14	24756049	24756050	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr14	24756091	24756092	2	0	0	1	0	0	0	0	0	2	2	0	2	1	1	0	0	0	0	2
chr14	24756093	24756094	2	0	0	1	0	0	0	0	0	2	2	0	1	1	1	0	0	0	0	2
chr14	24756156	24756157	39	22	20	31	33	31	39	44	27	59	26	16	26	30	16	22	27	31	32	31
chr14	24756188	24756189	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0
chr14	24756198	24756199	7	9	12	7	4	7	13	0	4	7	3	3	4	14	2	3	9	10	7	8
chr14	24756220	24756221	8	12	13	12	5	6	16	1	4	9	5	3	5	18	3	6	10	16	8	13
chr14	24756244	24756245	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0
chr14	24756386	24756387	3	11	4	8	3	1	7	1	1	2	2	1	2	10	1	2	6	7	3	9
chr14	24757658	24757659	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
chr14	24757680	24757681	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0
chr14	24757789	24757790	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1
chr14	24757802	24757803	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1
chr14	24757833	24757834	1	0	0	0	1	1	0	0	2	1	0	1	0	1	0	0	0	2	1	1
chr14	24757843	24757844	1	0	0	0	1	1	0	0	1	1	0	1	0	1	0	0	0	1	1	0
chr14	24757845	24757846	1	0	0	0	1	1	0	0	0	1	0	1	0	1	0	0	0	1	1	0
chr14	24758307	24758308	15	19	12	24	17	17	25	23	21	19	8	22	16	31	18	11	20	15	34	12
chr14	24758327	24758328	1	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	0	0	1	1
chr14	24758331	24758332	1	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	0	0	1	1
chr14	24758339	24758340	1	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	0	0	0	1
chr14	24758378	24758379	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1
chr14	24758439	24758440	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
chr14	24762650	24762651	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr14	24762672	24762673	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr14	24763611	24763612	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
chr14	24763622	24763623	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
chr14	24763655	24763656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
chr14	24763687	24763688	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0
chr14	24763709	24763710	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0
chr14	24765660	24765661	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
